
 displacements (vx,vy,vz) for set NALL and time  0.1000000E-02
         3   4 -3.428571E-07 -1.119550E-15 -1.054617E-15  7.561044E-16  1.266200E-16  1.420645E-16
         3   5 -3.428571E-07  3.125893E-16  5.048396E-16  1.192074E-15 -3.404697E-16  1.402873E-16
         3   6 -3.428571E-07  1.299310E-15  1.032322E-15  9.744696E-17  1.384297E-16  1.141935E-16
         3   7 -3.428571E-07 -7.697401E-16 -3.786548E-16  1.458304E-15 -3.809814E-17  4.115799E-18
         3   8 -3.428571E-07  1.321831E-16 -4.903418E-17  6.373338E-16 -3.117549E-16  2.021043E-16

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.2000000E-02

         1   1 -1.632653E-12  4.897959E-13  4.897959E-13 -4.575393E-29 -4.733165E-29  2.524355E-29
         1   2 -1.632653E-12  4.897959E-13  4.897959E-13 -7.730837E-29 -3.439434E-28  1.893266E-29
         1   3 -1.632653E-12  4.897959E-13  4.897959E-13 -5.679799E-29 -2.524355E-29  1.009742E-28
         1   4 -1.632653E-12  4.897959E-13  4.897959E-13 -8.835242E-29 -1.640831E-28  6.941976E-29
         1   5 -1.632653E-12  4.897959E-13  4.897959E-13 -1.262177E-29  6.941976E-29  2.524355E-29
         1   6 -1.632653E-12  4.897959E-13  4.897959E-13 -1.135960E-28 -2.271919E-28  1.893266E-29
         1   7 -1.632653E-12  4.897959E-13  4.897959E-13 -5.048710E-29  8.835242E-29  8.835242E-29
         1   8 -1.632653E-12  4.897959E-13  4.897959E-13 -1.514613E-28 -1.009742E-28  6.941976E-29
         2   1 -1.632653E-12  4.897959E-13  4.897959E-13 -1.420457E-22 -2.216563E-21 -6.291777E-23
         2   2 -1.632653E-12  4.897959E-13  4.897959E-13  2.822570E-21  5.362944E-22  3.391142E-23
         2   3 -1.632653E-12  4.897959E-13  4.897959E-13 -5.301216E-22  2.778248E-22 -2.409957E-22
         2   4 -1.632653E-12  4.897959E-13  4.897959E-13 -1.588913E-21  1.548374E-21  2.479934E-22
         2   5 -1.632653E-12  4.897959E-13  4.897959E-13  3.447043E-21 -1.329914E-21 -5.673433E-23
         2   6 -1.632653E-12  4.897959E-13  4.897959E-13  2.600010E-21 -4.828806E-22 -8.752292E-23
         2   7 -1.632653E-12  4.897959E-13  4.897959E-13  3.607991E-21  1.036856E-21 -2.348123E-22
         2   8 -1.632653E-12  4.897959E-13  4.897959E-13  2.760958E-21  2.307406E-21  1.265591E-22
         3   1 -1.632653E-12  4.897959E-13  4.897959E-13  3.280536E-21  9.631700E-22  6.826992E-24
         3   2 -1.632653E-12  4.897959E-13  4.897959E-13  5.398119E-21 -3.695511E-21  3.352371E-22
         3   3 -1.632653E-12  4.897959E-13  4.897959E-13  2.986580E-21 -3.451326E-21 -8.361394E-22
         3   4 -1.632653E-12  4.897959E-13  4.897959E-13  4.680646E-21  7.838383E-22  8.794471E-22
         3   5 -1.632653E-12  4.897959E-13  4.897959E-13  7.379507E-21 -2.107670E-21  8.684452E-22
         3   6 -1.632653E-12  4.897959E-13  4.897959E-13  6.032431E-22  8.569458E-22  7.069121E-22
         3   7 -1.632653E-12  4.897959E-13  4.897959E-13  9.027597E-21 -2.358456E-22  2.547876E-23
         3   8 -1.632653E-12  4.897959E-13  4.897959E-13  3.945400E-21 -1.929912E-21  1.251122E-21

 displacements (vx,vy,vz) for set NALL and time  0.3500000E-02

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2 -1.428571E-09  0.000000E+00  0.000000E+00
         3 -5.250000E-02  0.000000E+00  0.000000E+00
         4 -5.250000E-02  0.000000E+00  0.000000E+00
         5 -1.050000E-01  0.000000E+00  0.000000E+00
         6 -1.050000E-01  0.000000E+00  0.000000E+00
         7  0.000000E+00  4.285714E-10  0.000000E+00
         8 -1.428571E-09  4.285714E-10  0.000000E+00
         9 -5.250000E-02  4.285714E-10  0.000000E+00
        10 -5.250000E-02  4.285714E-10  0.000000E+00
        11 -1.050000E-01  4.285714E-10  0.000000E+00
        12 -1.050000E-01  4.285714E-10  0.000000E+00
        13  0.000000E+00  0.000000E+00  6.000000E-10
        14 -1.428571E-09  0.000000E+00  6.000000E-10
        15 -5.250000E-02  0.000000E+00  6.000000E-10
        16 -5.250000E-02  0.000000E+00  6.000000E-10
        17 -1.050000E-01  0.000000E+00  6.000000E-10
        18 -1.050000E-01  0.000000E+00  6.000000E-10
        19  0.000000E+00  4.285714E-10  6.000000E-10
        20 -1.428571E-09  4.285714E-10  6.000000E-10
        21 -5.250000E-02  4.285714E-10  6.000000E-10
        22 -5.250000E-02  4.285714E-10  6.000000E-10
        23 -1.050000E-01  4.285714E-10  6.000000E-10
        24 -1.050000E-01  4.285714E-10  6.000000E-10

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.3500000E-02

         1   1 -6.000000E-07  2.554155E-51 -5.293956E-23 -9.684785E-24 -9.684785E-24  3.058353E-24
         1   2 -6.000000E-07 -5.293956E-23 -1.013298E-50  2.293765E-23 -5.352118E-23  7.645883E-24
         1   3 -6.000000E-07  2.686688E-50 -5.293956E-23 -3.058353E-23 -1.427231E-23  1.223341E-23
         1   4 -6.000000E-07  5.293956E-23  5.293956E-23  2.038902E-24 -5.912816E-23  2.956408E-23
         1   5 -6.000000E-07 -3.860184E-52 -5.293956E-23 -8.155608E-24  5.097255E-24 -5.097255E-24
         1   6 -6.000000E-07  5.293956E-23 -1.942959E-50 -1.239119E-50 -3.873914E-23  1.376259E-23
         1   7 -6.000000E-07  1.235259E-51 -1.058791E-22 -2.058765E-51  8.155608E-24  4.077804E-24
         1   8 -6.000000E-07 -5.293956E-23 -1.058791E-22 -4.189587E-50 -4.077804E-23  3.568079E-23
         2   1 -6.000000E-07 -2.620672E-17 -2.245837E-16 -1.601639E-17 -5.203929E-16 -2.418802E-17
         2   2 -6.000000E-07 -1.005562E-16 -1.063485E-16  1.892262E-16  1.087341E-15  3.629917E-17
         2   3 -6.000000E-07 -6.272920E-17 -3.098029E-16 -5.977400E-17 -4.520737E-16 -5.618329E-17
         2   4 -6.000000E-07  6.290533E-17  2.750617E-16  2.138828E-16 -3.152453E-16 -1.709374E-17
         2   5 -6.000000E-07  1.458957E-15  1.350167E-15 -2.698131E-17 -4.468443E-16 -5.827567E-17
         2   6 -6.000000E-07  1.279759E-15  1.423467E-15 -3.006381E-16 -5.494656E-16  1.888633E-16
         2   7 -6.000000E-07  1.011950E-15  8.544627E-16 -1.195323E-15 -1.918733E-16 -9.027093E-17
         2   8 -6.000000E-07  1.032736E-15  1.394392E-15 -1.006956E-16 -4.655301E-16  1.354703E-16
         3   1 -6.000000E-07  2.463212E-15  2.671204E-15  3.308537E-17 -2.736292E-15  5.320860E-17
         3   2 -6.000000E-07  2.780389E-15  2.808677E-15  2.769653E-15  5.475898E-16 -4.801783E-17
         3   3 -6.000000E-07 -6.774052E-16 -2.783945E-16  1.234763E-16 -1.350764E-16  6.486388E-17
         3   4 -6.000000E-07 -7.564321E-16 -1.065397E-15 -5.606657E-16  1.780521E-15  5.687175E-17
         3   5 -6.000000E-07 -7.635585E-16 -5.882016E-16  8.086195E-17 -1.914567E-15  1.869219E-16
         3   6 -6.000000E-07  1.046620E-17 -2.549369E-16  2.270116E-15 -1.357976E-16 -2.840946E-16
         3   7 -6.000000E-07  2.663587E-15  3.029963E-15 -1.887473E-15 -1.598739E-15  1.985772E-16
