
 displacements (vx,vy,vz) for set NALL and time  0.5000000E-01
         1   4 -6.644444E-03  1.993333E-03  1.993333E-03 -2.406765E-19  5.375484E-19 -2.444313E-19
         1   5 -6.644444E-03  1.993333E-03  1.993333E-03 -1.348564E-19 -6.824959E-20  1.086361E-19
         1   6 -6.644444E-03  1.993333E-03  1.993333E-03 -4.579487E-19 -9.387041E-22 -2.851698E-19
         1   7 -6.644444E-03  1.993333E-03  1.993333E-03 -1.076974E-19 -3.268471E-19  1.086361E-19
         1   8 -6.644444E-03  1.993333E-03  1.993333E-03 -4.307897E-19 -3.754816E-21 -4.073854E-19
         2   1 -6.644444E-03  1.993333E-03  1.993333E-03 -8.887384E-19  5.375484E-19 -8.147709E-20
         2   2 -6.644444E-03  1.993333E-03  1.993333E-03 -8.887384E-19  7.125567E-19 -2.036927E-20
         2   3 -6.644444E-03  1.993333E-03  1.993333E-03 -9.711542E-19  1.882358E-19 -2.172722E-19
         2   4 -6.644444E-03  1.993333E-03  1.993333E-03 -6.749863E-19  1.534453E-18 -1.357951E-19
         2   5 -6.644444E-03  1.993333E-03  1.993333E-03 -4.307897E-19  6.962784E-19 -2.715903E-19
         2   6 -6.644444E-03  1.993333E-03  1.993333E-03 -1.615461E-18  4.135727E-19  2.987493E-19
         2   7 -6.644444E-03  1.993333E-03  1.993333E-03  3.221535E-19 -1.086361E-19 -2.715903E-19
         2   8 -6.644444E-03  1.993333E-03  1.993333E-03 -1.831795E-18  1.129884E-18  6.789757E-20
         3   1 -6.644444E-03  1.993333E-03  1.993333E-03 -2.425539E-19  1.143933E-18  2.715903E-20
         3   2 -6.644444E-03  1.993333E-03  1.993333E-03  5.113280E-19 -4.715282E-19  6.110782E-20
         3   3 -6.644444E-03  1.993333E-03  1.993333E-03 -2.153948E-19  1.696000E-18 -1.086361E-19
         3   4 -6.644444E-03  1.993333E-03  1.993333E-03 -2.692435E-19  2.234487E-18  9.505660E-20
         3   5 -6.644444E-03  1.993333E-03  1.993333E-03 -1.723159E-18  8.063226E-19  1.765337E-19
         3   6 -6.644444E-03  1.993333E-03  1.993333E-03 -2.153948E-19 -7.283656E-19  8.147709E-20
         3   7 -6.644444E-03  1.993333E-03  1.993333E-03 -1.614523E-18  2.045312E-18  1.086361E-19
         3   8 -6.644444E-03  1.993333E-03  1.993333E-03 -1.067587E-19  1.291430E-18 -1.357951E-20
         4   1 -6.644444E-03  1.993333E-03  1.993333E-03  3.111555E-19  5.291000E-20 -1.086361E-19
         4   2 -6.644444E-03  1.993333E-03  1.993333E-03  2.842311E-19  5.913971E-19  1.222156E-19
         4   3 -6.644444E-03  1.993333E-03  1.993333E-03  8.030371E-20  8.006903E-20  2.172722E-19
         4   4 -6.644444E-03  1.993333E-03  1.993333E-03  5.337936E-20  5.647074E-19  1.086361E-19
